unit_code,unit_name,submitted_envelopes,valid_votes,voters
506761,Alojzov,145,144,205
589268,Bedihošť,527,524,834
589276,Bílovice-Lutotín,279,275,431
589284,Biskupice,132,131,238
589292,Bohuslavice,236,236,376
589306,Bousín,67,67,107
589314,Brodek u Konice,460,460,695
589322,Brodek u Prostějova,656,655,1224
589331,Březsko,111,111,178
589349,Budětsko,208,206,331
589357,Buková,170,169,264
589365,Čehovice,281,280,426
589381,Čechy pod Kosířem,512,512,814
589390,Čelčice,272,272,437
589403,Čelechovice na Hané,649,642,1063
589420,Dětkovice,284,281,427
589438,Dobrochov,172,170,270
589446,Dobromilice,308,308,629
589454,Doloplazy,244,244,459
589462,Drahany,290,287,443
558419,Držovice,748,742,1139
589489,Dřevnovice,220,219,380
589497,Dzbel,133,133,209
549967,Hačky,67,65,83
589501,Hluchov,174,173,292
589519,Horní Štěpánov,454,452,749
589527,Hradčany-Kobeřice,196,194,326
589535,Hrdibořice,109,109,178
589543,Hrubčice,376,374,617
543543,Hruška,90,88,191
589560,Hvozd,340,336,524
589578,Ivaň,238,237,390
589586,Jesenec,139,139,246
589594,Kladky,140,140,289
589608,Klenovice na Hané,355,354,654
589616,Klopotovice,165,165,238
589624,Konice,1393,1358,2285
589632,Kostelec na Hané,1334,1323,2302
589641,Koválovice-Osíčany,152,151,232
589659,Kralice na Hané,807,804,1257
589667,Krumsín,284,284,465
589675,Laškov,335,334,487
589683,Lešany,196,194,320
589691,Lipová,450,449,615
589705,Ludmírov,239,239,480
589713,Malé Hradisko,185,185,309
589721,Mořice,226,223,422
589730,Mostkovice,842,836,1248
589748,Myslejovice,371,370,569
589756,Němčice nad Hanou,942,939,1612
589764,Nezamyslice,619,615,1140
589772,Niva,160,160,257
589799,Obědkovice,95,94,207
589802,Ohrozim,267,266,370
589811,Ochoz,102,99,152
589829,Olšany u Prostějova,844,839,1375
589837,Ondratice,173,171,289
589845,Otaslavice,650,647,1029
589853,Otinoves,144,143,229
557196,Pavlovice u Kojetína,135,134,232
589870,Pěnčín,352,349,594
589888,Pivín,382,381,565
589896,Plumlov,1180,1175,1934
549983,Polomí,78,78,124
589250,Prostějov,21073,20934,35975
589918,Prostějovičky,138,137,242
589926,Protivanov,549,547,805
589934,Přemyslovice,621,617,1029
589942,Ptení,524,520,880
589951,Raková u Konice,104,101,163
589969,Rakůvka,61,61,80
589977,Rozstání,294,290,503
506770,Seloutky,288,287,410
589993,Skalka,131,131,212
590002,Skřípov,145,144,274
590011,Slatinky,314,313,453
590029,Smržice,797,786,1319
590045,Srbce,39,39,73
590053,Stařechovice,279,278,447
590061,Stínava,74,73,126
590070,Stražisko,222,220,345
590088,Suchdol,360,356,499
590096,Šubířov,110,109,204
590100,Tištín,215,215,393
590118,Tvorovice,152,152,252
590126,Určice,613,611,1101
590134,Víceměřice,204,204,354
590142,Vícov,254,250,404
544710,Vincencov,80,80,109
590151,Vitčice,84,84,146
590177,Vranovice-Kelčice,321,318,492
590185,Vrbátky,863,857,1306
590193,Vrchoslavice,282,275,478
590207,Vřesovice,281,280,419
590215,Výšovice,266,263,399
590223,Zdětín,196,194,282
590240,Želeč,278,278,436
